,artist,track name,streams,date
0,The Kid LAROI,STAY (with Justin Bieber),1839147,2021-08-01
1,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),1731884,2021-08-01
2,Billie Eilish,Happier Than Ever,1341557,2021-08-01
3,Olivia Rodrigo,good 4 u,1283375,2021-08-01
4,Doja Cat,Kiss Me More (feat. SZA),1017309,2021-08-01
5,Doja Cat,Ain't Shit,829353,2021-08-01
6,Lil Nas X,MONTERO (Call Me By Your Name),812001,2021-08-01
7,Doja Cat,Need to Know,807979,2021-08-01
8,Måneskin,Beggin',804198,2021-08-01
9,Glass Animals,Heat Waves,798931,2021-08-01
10,Ed Sheeran,Bad Habits,782726,2021-08-01
11,Dua Lipa,Levitating (feat. DaBaby),776900,2021-08-01
12,Polo G,RAPSTAR,735955,2021-08-01
13,Olivia Rodrigo,traitor,713711,2021-08-01
14,Drake,Wants and Needs (feat. Lil Baby),703861,2021-08-01
15,Sleepy Hallow,2055,697558,2021-08-01
16,Olivia Rodrigo,deja vu,684584,2021-08-01
17,"Bruno Mars, Anderson .Paak, Silk Sonic",Skate,670292,2021-08-01
18,Billie Eilish,NDA,574476,2021-08-01
19,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),574107,2021-08-01
20,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,564015,2021-08-01
21,Megan Thee Stallion,Thot Shit,558658,2021-08-01
22,Billie Eilish,Oxytocin,545783,2021-08-01
23,Post Malone,Motley Crew,544090,2021-08-01
24,Billie Eilish,Getting Older,542314,2021-08-01
25,Billie Eilish,Billie Bossa Nova,530614,2021-08-01
26,Walker Hayes,Fancy Like,512171,2021-08-01
27,The Kid LAROI,NOT SOBER (feat. Polo G & Stunna Gambino),509161,2021-08-01
28,Billie Eilish,I Didn't Change My Number,504736,2021-08-01
29,Bad Bunny,Yonaguni,497132,2021-08-01
30,Olivia Rodrigo,favorite crime,489852,2021-08-01
31,Billie Eilish,Lost Cause,482293,2021-08-01
32,Olivia Rodrigo,drivers license,479032,2021-08-01
33,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),476988,2021-08-01
34,Smiley,Over The Top (feat. Drake),475984,2021-08-01
35,"Doja Cat, The Weeknd",You Right,470351,2021-08-01
36,Rauw Alejandro,Todo De Ti,461072,2021-08-01
37,Billie Eilish,Halley's Comet,446712,2021-08-01
38,Masked Wolf,Astronaut In The Ocean,441376,2021-08-01
39,Olivia Rodrigo,happier,439561,2021-08-01
40,Olivia Rodrigo,"jealousy, jealousy",436350,2021-08-01
41,Billie Eilish,my future,433764,2021-08-01
42,Olivia Rodrigo,brutal,410905,2021-08-01
43,Billie Eilish,GOLDWING,406527,2021-08-01
44,Surf Curse,Freaks,406376,2021-08-01
45,The Weeknd,Blinding Lights,399319,2021-08-01
46,DaBaby,Ball If I Want To,392596,2021-08-01
47,Billie Eilish,Male Fantasy,391318,2021-08-01
48,Billie Eilish,Therefore I Am,390140,2021-08-01
49,Billie Eilish,Your Power,388560,2021-08-01
50,Trippie Redd,Miss The Rage (feat. Playboi Carti),383290,2021-08-01
51,BTS,Butter,374574,2021-08-01
52,Giveon,Heartbreak Anniversary,374102,2021-08-01
53,"Cochise, $NOT",Tell Em,372354,2021-08-01
54,Måneskin,I WANNA BE YOUR SLAVE,369187,2021-08-01
55,WILLOW,t r a n s p a r e n t s o u l feat. Travis Barker,368305,2021-08-01
56,DJ Khaled,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),363783,2021-08-01
57,The Neighbourhood,Sweater Weather,355255,2021-08-01
58,Billie Eilish,OverHeated,352074,2021-08-01
59,PinkPantheress,Pain,347805,2021-08-01
60,DaBaby,Red Light Green Light,338993,2021-08-01
61,Marshmello,Leave Before You Love Me (with Jonas Brothers),334267,2021-08-01
62,Isaiah Rashad,From The Garden (feat. Lil Uzi Vert),329654,2021-08-01
63,Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),327291,2021-08-01
64,BTS,Permission to Dance,325023,2021-08-01
65,Billie Eilish,Everybody Dies,324663,2021-08-01
66,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,318606,2021-08-01
67,"Bad Bunny, Jhay Cortez",DÁKITI,317405,2021-08-01
68,Kali Uchis,telepatía,316468,2021-08-01
69,Doja Cat,Woman,315286,2021-08-01
70,"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),312627,2021-08-01
71,Polo G,Martin & Gina,311637,2021-08-01
72,Post Malone,Circles,311075,2021-08-01
73,24kGoldn,Mood (feat. iann dior),309612,2021-08-01
74,Machine Gun Kelly,my ex's best friend (with blackbear),309411,2021-08-01
75,Billie Eilish,Not My Responsibility,307789,2021-08-01
76,Doja Cat,Streets,307287,2021-08-01
77,ZeXzy,My Mind,304995,2021-08-01
78,Harry Styles,Watermelon Sugar,299817,2021-08-01
79,Bo Burnham,Bezos I,299814,2021-08-01
